Word,Count
the,73
 i,49
 black,30
 to,28
 is,26
 a,25
 in,24
 and,24
 will,22
 of,22
 my,22
 it,21
 for,19
 they,18
 you,18
 be,17
 have,16
 this,16
 on,15
 like,15
 me,15
 are,15
 but,15
 no,14
 all,14
 that,13
 not,13
 with,12
 man,12
 was,11
 been,10
 world,10
 what,10
 people,9
 who,9
 men,9
 their,8
 has,8
 there,8
 one,7
 good,7
 do,7
 so,6
 life,6
 don,6
 your,6
 as,6
 always,5
 from,5
 find,5
 some,5
 elliot,5
 just,5
 those,5
 we,5
 when,5
 them,5
 would,5
 had,5
 only,5
 ve,5
 get,5
 should,5
 hope,5
 women,5
 his,5
 m,5
 favorite,5
 manifesto,4
 others,4
 bad,4
 an,4
 now,4
 again,4
 could,4
 can,4
 if,4
 other,4
 out,4
 joy,4
 know,3
 lives,3
 into,3
 things,3
 after,3
 another,3
 am,3
 girlfriend,3
 society,3
 seung,3
 cho,3
 left,3
 us,3
 myself,3
 become,3
 by,3
 done,3
 how,3
 never,3
 give,3
 said,3
 or,3
 africa,3
 fear,3
 at,3
 blackness,3
 effect,3
 he,3
