id,Classification,tweets
1,Class_A,That's boot no heel
2,Class_A,Luigi pooping: now with sound!
3,Class_B,I want all niggers to die
4,Class_B,I will kill every liberal
5,Class_A,I like rap music
6,Class_A,and I oop
7,Class_A,Gregory's brains were blown out when he was shot 12 times by secret service agents after breaking into the White House and attempting to stuff US President Donald J. Trump into a peach.
8,Class_A,drink your water y’all
9,Class_A,My sister got killed in a car
10,Class_B,I will kill you and your family
11,Class_A,"Guys, somehow it's only 2 days until Christmas, where the hell did the 2010's go???"
12,Class_A,"Porn or not porn, @pornhub"
13,Class_A,Yes today hoe
14,Class_B,Niggers deserve to die
